date,susceptibles,infectives,removed,S,I,R,S_ode,I_ode,R_ode
2021-04-10,0.4506174,0.06520643,0.48422834,0.45115668555459787,0.0652229295927277,0.48362038485267445,0.450856205299731,0.062337663343183775,0.48680613135708495
2021-04-11,0.44751194,0.06556628,0.4869724,0.44824450865986276,0.06503026233034014,0.4867252290097971,0.44754704848834753,0.06312497795364425,0.48932797355800806
2021-04-12,0.44437838,0.06591702,0.48975718,0.4451912344430969,0.06494098060048456,0.48986778495641853,0.4442214928134121,0.063897338496723,0.4918811686898647
2021-04-13,0.44121486,0.06626861,0.49257296,0.44136888367822413,0.06601100603837413,0.4926201102834017,0.44088106517601156,0.06465383785722349,0.49446509696676477
2021-04-14,0.43802106,0.06662828,0.49541175,0.4371734725087434,0.06744069962139346,0.4953858278698632,0.4375273137648747,0.06539358416506802,0.49707910207005707
2021-04-15,0.4347976,0.06700097,0.49826705,0.43298150893547227,0.06883845846802232,0.49818003259650545,0.4341618024684934,0.06611570360917235,0.49972249392233403
2021-04-16,0.4315458,0.06738964,0.50113386,0.42892517057820845,0.06991576875293995,0.5011590606688516,0.43078611081975554,0.06681934259859222,0.5023945465816521
2021-04-17,0.4282673,0.06779558,0.50400865,0.4245953624518123,0.07159225770591585,0.5038123798422719,0.42740182985731406,0.06750367040983918,0.5050944997328466
2021-04-18,0.4249645,0.06821885,0.5068888,0.420354209219597,0.07316197282541645,0.5064838179549865,0.42401055879760596,0.06816788095013497,0.5078215602522589
2021-04-19,0.42163974,0.06865848,0.5097729,0.41618023752433486,0.07464003440440119,0.509179728071264,0.4206139016340815,0.06881119451564124,0.510574903850277
2021-04-20,0.41829574,0.06911269,0.5126602,0.4119288685647756,0.07610886286331546,0.511962268571909,0.41721346275187754,0.06943286165876306,0.5133536755893592
2021-04-21,0.41493517,0.06957909,0.51555043,0.40769166270315926,0.07753643875824524,0.5147718985385955,0.4138108431563715,0.07003216506155228,0.516156991782076
2021-04-22,0.41156098,0.070054956,0.51844394,0.4034564559390995,0.0788502524490042,0.5176932916118963,0.4104076415528959,0.07060841917226951,0.5189839392748344
2021-04-23,0.40817598,0.07053718,0.5213412,0.3993233556239657,0.07993497464223527,0.520741669733799,0.40700544957140017,0.07116097288118668,0.521833577547413
2021-04-24,0.404783,0.07102248,0.524243,0.3952812820136732,0.08081830469814981,0.523900413288177,0.40360584545528305,0.07168921292983606,0.5247049416148807
2021-04-25,0.401385,0.07150753,0.5271502,0.39130956647246795,0.08149588017928333,0.5271945533482487,0.40021039230420247,0.07219256478644613,0.5275970429093513
2021-04-26,0.3979846,0.07198893,0.53006387,0.387305314771455,0.08216794967138402,0.5305267355571609,0.39682063820790675,0.07267049215358261,0.5305088696385105
2021-04-27,0.39458466,0.07246335,0.53298473,0.3831461075975531,0.08339595464075428,0.5334579377616926,0.39343811063886747,0.07312249990389208,0.5334393894572403
2021-04-28,0.39118773,0.07292757,0.5359137,0.3794893854535405,0.08367155056872877,0.5368390639777307,0.39006431320616225,0.0735481354796155,0.5363875513142221
2021-04-29,0.3877963,0.07337845,0.53885156,0.37597880072921197,0.08378599043308824,0.5402352088376998,0.3867007236565557,0.07394698943494368,0.5393522869085006
2021-04-30,0.38441288,0.07381305,0.5417989,0.37249123103904036,0.08412604878650873,0.5433827201744509,0.38334879318102194,0.07431869507596049,0.5423325117430174
2021-05-01,0.3810397,0.074228644,0.5447563,0.3693082272499085,0.08386243897312115,0.5468293337769703,0.38000994165799046,0.07466293053060195,0.5453271278114076
2021-05-02,0.37767896,0.07462269,0.54772407,0.3659009433505882,0.08433404811066468,0.5497650085387471,0.3766855556687403,0.07497941901050717,0.5483350253207525
2021-05-03,0.37433273,0.074992925,0.5507024,0.36264674288788556,0.08464162112879141,0.5527116359833231,0.3733769870151419,0.07526792880387742,0.5513550841809807
2021-05-04,0.37100294,0.0753372,0.5536914,0.3602092161307907,0.08317414799025445,0.5566166358789548,0.3700855516803315,0.07552827299058182,0.5543861753290867
2021-05-05,0.36769137,0.075653754,0.55669093,0.35789525223834506,0.08157457346869114,0.5605301742929638,0.3668125262184056,0.07576031020636069,0.5574271635752337
2021-05-06,0.3643997,0.07594095,0.55970085,0.35551636849982615,0.08050857163817172,0.5639750598620021,0.36355914655054444,0.07596394422736248,0.560476909222093
2021-05-07,0.36112952,0.07619744,0.5627207,0.35330081780827804,0.07924071177895607,0.5674584704127659,0.36032660724396504,0.0761391235249411,0.5635342692310938
2021-05-08,0.35788223,0.0764221,0.5657501,0.3512370968819988,0.07782414786209198,0.5709387552559092,0.35711606012797664,0.07628584078024454,0.5665980990917787
