date,susceptibles,infectives,removed,S,I,R,S_ode,I_ode,R_ode
2021-03-22,0.34959793,0.3645156,0.28568283,0.35042687788968807,0.3644511554488247,0.28512196666148715,0.31765709332455094,0.3976996811857423,0.2846432254897067
2021-03-23,0.34604374,0.36681107,0.28694466,0.3469695911391973,0.36661968499403225,0.2864107238667705,0.3141245336939764,0.3998612603787467,0.2860142059272769
2021-03-24,0.34230804,0.36930057,0.28818744,0.3433721557909398,0.368947651040126,0.28768019316893423,0.31061255150005224,0.40199487887216795,0.2873925696277797
2021-03-25,0.33840558,0.37196556,0.28941715,0.33950451191320774,0.37155413542375776,0.28894135266303456,0.30712157938664214,0.4041002006190515,0.28877821999430625
2021-03-26,0.33435738,0.37477973,0.2906422,0.335437864650324,0.37435070349030797,0.29021143185936804,0.30365203599752527,0.4061769047143488,0.29017105928812587
2021-03-27,0.33018905,0.37771142,0.29187223,0.33113910183132067,0.377385892650789,0.2914750055178904,0.300204326281299,0.4082246852168844,0.29157098850181656
2021-03-28,0.325929,0.38072574,0.2931171,0.3267055778130503,0.38051561540758766,0.29277880677936197,0.296778840785656,0.4102432516397646,0.29297790757457937
2021-03-29,0.32160643,0.38378698,0.29438588,0.3221807221428538,0.383718068044134,0.2941012098130122,0.2933759558307764,0.41223232867387855,0.294391715495345
2021-03-30,0.31724975,0.38686085,0.29568574,0.3176051436075363,0.3869170646137182,0.2954777917787455,0.2899960342837121,0.4141916552720888,0.29581231044419903
2021-03-31,0.31288514,0.38991588,0.29702193,0.3130068973389082,0.39009847590140667,0.29689462675968514,0.2866394236245331,0.41612098661433233,0.29723958976113446
2021-04-01,0.30853555,0.3929249,0.2983973,0.3083707868072389,0.3932721110384304,0.2983571021543307,0.28330645628705586,0.41802009365311615,0.2986734500598279
2021-04-02,0.3042197,0.39586586,0.29981244,0.3037223005063742,0.39645448799188776,0.299823211501738,0.27999744964235157,0.41988876306860473,0.3001137872890436
2021-04-03,0.29995152,0.39872265,0.301266,0.2992113453407976,0.39948088451142094,0.3013077701477815,0.2767127094763505,0.42172679419987374,0.30156049632377563
2021-04-04,0.2957394,0.40148538,0.30275527,0.2949541061498542,0.4022529551621511,0.30279293868799473,0.27345252709725143,0.42353400150794196,0.3030134713948065
