date,Ic,Inew,R,D,R_4_SIR,I_4_SIR,S_4_SIR
2021-03-17,3218396.8571428573,22634.571428571428,3922.0,102243.71428571429,106165.71428571429,3112231.1428571427,57409101.14285714
2021-03-18,3240924.5714285714,22527.714285714286,3922.0,102625.28571428571,106547.28571428571,3134377.285714286,57386573.428571425
2021-03-19,3263297.5714285714,22373.0,3922.0,103007.71428571429,106929.71428571429,3156367.8571428573,57364200.428571425
2021-03-20,3285368.0,22070.428571428572,3922.0,103402.14285714286,107324.14285714286,3178043.8571428573,57342130.0
2021-03-21,3307258.5714285714,21890.571428571428,3922.0,103801.71428571429,107723.71428571429,3199534.8571428573,57320239.428571425
2021-03-22,3330470.4285714286,23211.85714285714,3922.0,104205.85714285714,108127.85714285714,3222342.5714285714,57297027.571428575
2021-03-23,3353448.4285714286,22978.0,3988.8571428571427,104617.0,108605.85714285714,3244842.5714285714,57274049.571428575
2021-03-24,3376170.1428571427,22721.714285714286,4062.5714285714284,105032.28571428571,109094.85714285714,3267075.285714286,57251327.85714286
2021-03-25,3398717.5714285714,22547.428571428572,4136.285714285715,105452.85714285714,109589.14285714286,3289128.4285714286,57228780.428571425
2021-03-26,3421032.0,22314.428571428572,4210.0,105883.57142857143,110093.57142857143,3310938.4285714286,57206466.0
2021-03-27,3443335.1428571427,22303.14285714286,4283.714285714285,106311.28571428571,110595.0,3332740.1428571427,57184162.85714286
2021-03-28,3465575.285714286,22240.14285714286,4357.428571428572,106738.57142857143,111096.0,3354479.285714286,57161922.71428572
2021-03-29,3486158.1428571427,20582.85714285714,4435.857142857143,107170.28571428571,111606.14285714286,3374552.0,57141339.85714286
2021-03-30,3506357.5714285714,20199.428571428572,4447.428571428572,107598.85714285714,112046.28571428571,3394311.285714286,57121140.428571425
2021-03-31,3526934.285714286,20576.714285714286,4452.142857142857,108028.42857142857,112480.57142857143,3414453.714285714,57100563.71428572
